#1:i  2:j   3:lat       4:lon       5:rproj     6:vproj     
1     36    -86.40000   +64.80000   -9.961e-01  -8.385e-02  
1     37    -86.40000   +66.60000   -9.961e-01  -8.462e-02  
1     38    -86.40000   +68.40000   -9.961e-01  -8.533e-02  
1     39    -86.40000   +70.20000   -9.961e-01  -8.597e-02  
1     40    -86.40000   +72.00000   -9.961e-01  -8.656e-02  
1     41    -86.40000   +73.80000   -9.960e-01  -8.710e-02  
1     42    -86.40000   +75.60000   -9.960e-01  -8.757e-02  
1     43    -86.40000   +77.40000   -9.960e-01  -8.798e-02  
1     44    -86.40000   +79.20000   -9.960e-01  -8.833e-02  
1     45    -86.40000   +81.00000   -9.960e-01  -8.861e-02  
1     46    -86.40000   +82.80000   -9.960e-01  -8.884e-02  
1     47    -86.40000   +84.60000   -9.960e-01  -8.901e-02  
1     48    -86.40000   +86.40000   -9.960e-01  -8.911e-02  
1     49    -86.40000   +88.20000   -9.960e-01  -8.915e-02  
1     50    -86.40000   +90.00000   -9.960e-01  -8.913e-02  
1     51    -86.40000   +91.80000   -9.960e-01  -8.905e-02  
1     52    -86.40000   +93.60000   -9.960e-01  -8.891e-02  
1     53    -86.40000   +95.40000   -9.960e-01  -8.870e-02  
1     54    -86.40000   +97.20000   -9.961e-01  -8.843e-02  
1     55    -86.40000   +99.00000   -9.961e-01  -8.810e-02  
1     56    -86.40000   +100.80000  -9.961e-01  -8.771e-02  
1     57    -86.40000   +102.60000  -9.961e-01  -8.726e-02  
1     58    -86.40000   +104.40000  -9.961e-01  -8.675e-02  
1     59    -86.40000   +106.20000  -9.961e-01  -8.618e-02  
1     60    -86.40000   +108.00000  -9.961e-01  -8.556e-02  
1     61    -86.40000   +109.80000  -9.962e-01  -8.487e-02  
1     62    -86.40000   +111.60000  -9.962e-01  -8.412e-02  
1     63    -86.40000   +113.40000  -9.962e-01  -8.332e-02  
1     64    -86.40000   +115.20000  -9.962e-01  -8.246e-02  
1     65    -86.40000   +117.00000  -9.963e-01  -8.155e-02  
1     66    -86.40000   +118.80000  -9.963e-01  -8.058e-02  
1     67    -86.40000   +120.60000  -9.963e-01  -7.956e-02  
1     68    -86.40000   +122.40000  -9.964e-01  -7.849e-02  
1     69    -86.40000   +124.20000  -9.964e-01  -7.736e-02  
1     70    -86.40000   +126.00000  -9.964e-01  -7.619e-02  
1     71    -86.40000   +127.80000  -9.965e-01  -7.496e-02  
1     72    -86.40000   +129.60000  -9.965e-01  -7.369e-02  
1     73    -86.40000   +131.40000  -9.965e-01  -7.237e-02  
1     74    -86.40000   +133.20000  -9.966e-01  -7.101e-02  
1     75    -86.40000   +135.00000  -9.966e-01  -6.960e-02  
1     76    -86.40000   +136.80000  -9.967e-01  -6.815e-02  
1     77    -86.40000   +138.60000  -9.967e-01  -6.666e-02  
1     78    -86.40000   +140.40000  -9.967e-01  -6.512e-02  
1     79    -86.40000   +142.20000  -9.968e-01  -6.355e-02  
1     80    -86.40000   +144.00000  -9.968e-01  -6.195e-02  
1     81    -86.40000   +145.80000  -9.969e-01  -6.030e-02  
1     82    -86.40000   +147.60000  -9.969e-01  -5.863e-02  
1     83    -86.40000   +149.40000  -9.970e-01  -5.692e-02  
1     84    -86.40000   +151.20000  -9.970e-01  -5.518e-02  
1     85    -86.40000   +153.00000  -9.971e-01  -5.342e-02  
1     86    -86.40000   +154.80000  -9.971e-01  -5.162e-02  
1     87    -86.40000   +156.60000  -9.972e-01  -4.981e-02  
1     88    -86.40000   +158.40000  -9.972e-01  -4.797e-02  
1     89    -86.40000   +160.20000  -9.973e-01  -4.610e-02  
1     90    -86.40000   +162.00000  -9.973e-01  -4.422e-02  
1     91    -86.40000   +163.80000  -9.974e-01  -4.232e-02  
1     92    -86.40000   +165.60000  -9.974e-01  -4.041e-02  
1     93    -86.40000   +167.40000  -9.975e-01  -3.848e-02  
1     94    -86.40000   +169.20000  -9.975e-01  -3.654e-02  
1     95    -86.40000   +171.00000  -9.976e-01  -3.459e-02  
1     96    -86.40000   +172.80000  -9.976e-01  -3.263e-02  
1     97    -86.40000   +174.60000  -9.977e-01  -3.066e-02  
1     98    -86.40000   +176.40000  -9.977e-01  -2.870e-02  
1     99    -86.40000   +178.20000  -9.978e-01  -2.672e-02  
1     100   -86.40000   +180.00000  -9.978e-01  -2.475e-02  
1     101   -86.40000   +181.80000  -9.979e-01  -2.278e-02  
1     102   -86.40000   +183.60000  -9.979e-01  -2.082e-02  
1     103   -86.40000   +185.40000  -9.980e-01  -1.885e-02  
1     104   -86.40000   +187.20000  -9.980e-01  -1.690e-02  
1     105   -86.40000   +189.00000  -9.981e-01  -1.496e-02  
1     106   -86.40000   +190.80000  -9.981e-01  -1.302e-02  
1     107   -86.40000   +192.60000  -9.982e-01  -1.110e-02  
1     108   -86.40000   +194.40000  -9.982e-01  -9.199e-03  
1     109   -86.40000   +196.20000  -9.983e-01  -7.311e-03  
1     110   -86.40000   +198.00000  -9.983e-01  -5.442e-03  
1     111   -86.40000   +199.80000  -9.984e-01  -3.594e-03  
1     112   -86.40000   +201.60000  -9.984e-01  -1.768e-03  
1     113   -86.40000   +203.40000  -9.985e-01  +3.366e-05  
1     114   -86.40000   +205.20000  -9.985e-01  +1.809e-03  
1     115   -86.40000   +207.00000  -9.986e-01  +3.557e-03  
1     116   -86.40000   +208.80000  -9.986e-01  +5.275e-03  
1     117   -86.40000   +210.60000  -9.986e-01  +6.962e-03  
1     118   -86.40000   +212.40000  -9.987e-01  +8.616e-03  
1     119   -86.40000   +214.20000  -9.987e-01  +1.023e-02  
1     120   -86.40000   +216.00000  -9.988e-01  +1.182e-02  
1     121   -86.40000   +217.80000  -9.988e-01  +1.336e-02  
1     122   -86.40000   +219.60000  -9.988e-01  +1.487e-02  
1     123   -86.40000   +221.40000  -9.989e-01  +1.634e-02  
1     124   -86.40000   +223.20000  -9.989e-01  +1.776e-02  
1     125   -86.40000   +225.00000  -9.990e-01  +1.914e-02  
1     126   -86.40000   +226.80000  -9.990e-01  +2.047e-02  
1     127   -86.40000   +228.60000  -9.990e-01  +2.176e-02  
1     128   -86.40000   +230.40000  -9.990e-01  +2.300e-02  
1     129   -86.40000   +232.20000  -9.991e-01  +2.420e-02  
1     130   -86.40000   +234.00000  -9.991e-01  +2.534e-02  
1     131   -86.40000   +235.80000  -9.991e-01  +2.643e-02  
1     132   -86.40000   +237.60000  -9.992e-01  +2.747e-02  
1     133   -86.40000   +239.40000  -9.992e-01  +2.846e-02  
1     134   -86.40000   +241.20000  -9.992e-01  +2.939e-02  
1     135   -86.40000   +243.00000  -9.992e-01  +3.027e-02  
1     136   -86.40000   +244.80000  -9.992e-01  +3.109e-02  
1     137   -86.40000   +246.60000  -9.993e-01  +3.185e-02  
1     138   -86.40000   +248.40000  -9.993e-01  +3.256e-02  
1     139   -86.40000   +250.20000  -9.993e-01  +3.321e-02  
1     140   -86.40000   +252.00000  -9.993e-01  +3.380e-02  
1     141   -86.40000   +253.80000  -9.993e-01  +3.433e-02  
1     142   -86.40000   +255.60000  -9.993e-01  +3.480e-02  
1     143   -86.40000   +257.40000  -9.993e-01  +3.521e-02  
1     144   -86.40000   +259.20000  -9.993e-01  +3.556e-02  
1     145   -86.40000   +261.00000  -9.993e-01  +3.585e-02  
1     146   -86.40000   +262.80000  -9.993e-01  +3.607e-02  
1     147   -86.40000   +264.60000  -9.993e-01  +3.624e-02  
1     148   -86.40000   +266.40000  -9.993e-01  +3.634e-02  
1     149   -86.40000   +268.20000  -9.993e-01  +3.638e-02  
1     150   -86.40000   +270.00000  -9.993e-01  +3.636e-02  
1     151   -86.40000   +271.80000  -9.993e-01  +3.628e-02  
1     152   -86.40000   +273.60000  -9.993e-01  +3.614e-02  
1     153   -86.40000   +275.40000  -9.993e-01  +3.593e-02  
1     154   -86.40000   +277.20000  -9.993e-01  +3.566e-02  
1     155   -86.40000   +279.00000  -9.993e-01  +3.534e-02  
1     156   -86.40000   +280.80000  -9.993e-01  +3.495e-02  
1     157   -86.40000   +282.60000  -9.993e-01  +3.450e-02  
1     158   -86.40000   +284.40000  -9.992e-01  +3.399e-02  
1     159   -86.40000   +286.20000  -9.992e-01  +3.342e-02  
1     160   -86.40000   +288.00000  -9.992e-01  +3.279e-02  
1     161   -86.40000   +289.80000  -9.992e-01  +3.210e-02  
1     162   -86.40000   +291.60000  -9.992e-01  +3.136e-02  
1     163   -86.40000   +293.40000  -9.991e-01  +3.055e-02  
